country,year,disease_name,disease_category,prevalence_rate_pct,incidence_rate_pct,mortality_rate_pct,age_group,gender,population_affected,healthcare_access_pct,doctors_per_1000,hospital_beds_per_1000,treatment_type,average_treatment_cost_usd,availability_of_vaccines/treatment,recovery_rate_pct,dalys,improvement_in_5_years_pct,per_capita_income_usd,education_index,urbanization_rate_pct,outlier_mortality,disease_burden_score,mortality_prevalence_ratio,risk_level,health_infra_index
Italy,2013,Malaria,Respiratory,0.95,1.55,8.42,0-18,Male,471007,57.74,3.34,7.58,Medication,21064,No,91.82,4493,2.16,16886,0.79,86.02,False,35939.507,8.853838065194532,Medium,5.46
France,2002,Ebola,Parasitic,12.46,8.63,8.75,61+,Male,634318,89.21,1.33,5.11,Surgery,47851,Yes,76.65,2366,4.82,80639,0.74,45.52,False,257953.15000000002,0.7021908354064682,High,3.22
Turkey,2015,COVID-19,Genetic,0.91,2.35,6.22,36-60,Male,154878,56.41,4.07,3.49,Vaccination,27834,Yes,98.55,41,5.81,12245,0.41,40.2,False,232.0682,6.827661909989023,Medium,3.7800000000000002
Indonesia,2011,Parkinson's Disease,Autoimmune,4.68,6.29,3.99,0-18,Other,446224,85.2,3.18,8.44,Surgery,144,Yes,67.35,3201,2.22,49336,0.49,58.47,False,59772.9132,0.8523819696646017,Medium,5.81
Italy,2013,Tuberculosis,Genetic,0.83,13.59,7.01,61+,Male,472908,67.0,4.61,5.9,Medication,8908,Yes,50.06,2832,6.93,47701,0.5,48.14,False,16477.4256,8.435619735258724,Medium,5.255000000000001
Saudi Arabia,2011,Dengue,Bacterial,10.99,6.49,4.64,61+,Female,479234,98.41,3.5,0.62,Therapy,42671,Yes,93.17,416,9.83,29597,0.46,56.5,False,21213.3376,0.4221635883905013,Medium,2.06
USA,2013,Malaria,Cardiovascular,18.42,6.33,9.33,61+,Female,289931,90.03,3.16,3.31,Surgery,15579,No,92.8,4535,0.89,60027,0.7,20.48,False,779378.7510000002,0.5064871613918897,High,3.2350000000000003
Nigeria,2007,Tuberculosis,Neurological,3.48,5.71,1.21,0-18,Female,393296,75.6,0.54,3.54,Medication,15744,Yes,65.45,4584,9.81,23222,0.46,66.49,False,19302.3072,0.3476012640045964,Low,2.04
Italy,2000,Rabies,Chronic,15.59,4.74,6.38,19-35,Female,253110,87.87,4.56,5.84,Therapy,7669,Yes,59.23,2253,9.92,30849,0.55,41.27,False,224092.84259999997,0.4092104419216215,High,5.199999999999999
Australia,2006,Cholera,Chronic,10.12,2.08,6.0,61+,Male,174143,95.9,4.63,6.01,Medication,9468,Yes,93.21,4694,2.96,68856,0.9,83.3,False,285019.68,0.5928267957711689,High,5.32
Canada,2011,Leprosy,Cardiovascular,11.15,0.6,2.97,36-60,Female,76858,67.88,0.66,1.99,Surgery,19993,Yes,76.16,4238,1.23,44699,0.58,51.5,False,140343.48900000003,0.26634382566585957,Medium,1.325
Mexico,2009,Cancer,Metabolic,3.88,10.85,1.85,0-18,Male,462950,71.06,4.08,6.22,Vaccination,36202,Yes,63.54,2797,3.16,30015,0.61,29.05,False,20076.865999999998,0.47668126771450664,Low,5.15
Nigeria,2007,Diabetes,Infectious,8.92,13.19,5.52,36-60,Female,227849,84.41,1.37,9.57,Therapy,45685,No,68.02,423,3.98,60608,0.61,68.17,False,20827.8432,0.6187647124761798,Medium,5.470000000000001
France,2004,Measles,Bacterial,11.4,5.15,7.77,61+,Male,420730,86.28,4.73,0.73,Therapy,49545,Yes,52.4,968,1.11,64119,0.59,63.84,False,85743.504,0.6815191649855276,High,2.7300000000000004
Australia,2020,Zika,Parasitic,17.27,1.26,7.08,61+,Male,766425,53.75,3.15,8.49,Therapy,20169,Yes,58.19,3731,4.51,48701,0.83,26.05,False,456195.33959999995,0.40993573041514675,High,5.82
USA,2024,Dengue,Viral,1.82,2.98,7.01,36-60,Female,623844,96.83,0.56,9.72,Medication,4664,No,87.75,484,8.11,56179,0.63,29.0,False,6174.968800000001,3.8495332235035695,Medium,5.140000000000001
Nigeria,2009,Leprosy,Parasitic,15.18,14.95,8.21,0-18,Male,788926,87.33,3.96,4.49,Vaccination,31596,Yes,50.8,2773,0.79,6053,0.41,31.82,False,345592.88940000004,0.5408075884329097,High,4.225
Australia,2006,Alzheimer's Disease,Bacterial,13.39,13.85,4.04,61+,Male,134472,90.34,2.8,6.73,Surgery,44696,Yes,58.67,3088,5.51,23813,0.87,57.71,False,167047.2128,0.30169516839668437,Medium,4.765000000000001
France,2015,Polio,Respiratory,14.44,5.69,2.21,19-35,Other,959930,57.31,2.93,6.93,Medication,48221,Yes,54.8,1537,6.49,99481,0.84,28.24,False,49049.358799999995,0.1530364933176373,Medium,4.93
Indonesia,2001,Hypertension,Cardiovascular,3.24,0.43,2.12,36-60,Male,938294,54.07,3.14,9.09,Vaccination,32325,Yes,92.95,2110,4.93,86168,0.79,25.86,False,14493.168000000001,0.6541190990435051,Medium,6.115
Turkey,2019,Leprosy,Respiratory,8.74,1.42,1.54,19-35,Other,124225,59.94,0.8,6.22,Vaccination,20405,No,73.62,2958,4.22,50131,0.76,70.77,False,39813.4968,0.17618121496396294,Low,3.51
China,2001,Ebola,Neurological,2.92,1.17,7.35,36-60,Other,276364,80.23,2.27,3.57,Surgery,28401,Yes,51.53,1742,1.47,8526,0.4,31.5,False,37386.804,2.516261554262239,Medium,2.92
South Africa,2014,Malaria,Bacterial,5.94,4.29,2.36,61+,Female,857183,61.32,4.56,6.88,Therapy,14578,Yes,72.97,433,1.4,52974,0.53,43.97,False,6069.9672,0.39723952196599893,Medium,5.72
Japan,2021,Diabetes,Autoimmune,11.24,4.78,5.68,19-35,Male,947147,66.78,4.46,1.2,Surgery,20397,Yes,98.55,4994,7.43,93229,0.64,46.04,False,318832.9408,0.5052931233875989,High,2.83
USA,2000,Asthma,Metabolic,7.91,9.13,1.58,0-18,Male,365955,64.87,1.28,4.67,Therapy,8688,No,79.09,1480,9.56,85413,0.4,31.14,False,18496.744000000002,0.19972190620654784,Low,2.975
UK,2010,Diabetes,Genetic,10.58,12.3,2.37,0-18,Female,822231,66.36,1.31,9.32,Surgery,4533,Yes,52.91,4187,3.67,3239,0.52,71.13,False,104987.3502,0.2239863907003119,Medium,5.315
Canada,2001,Tuberculosis,Neurological,16.03,7.29,0.39,61+,Male,804802,78.96,2.46,7.72,Therapy,1676,No,80.52,2653,8.64,60168,0.45,41.91,False,16585.7601,0.024327864762023577,Low,5.09
Russia,2003,Measles,Neurological,1.45,12.86,3.21,36-60,Male,468005,63.31,2.53,1.41,Therapy,12119,No,90.01,4128,7.68,19846,0.9,34.35,False,19213.775999999998,2.212267401791868,Medium,1.9699999999999998
Mexico,2022,Rabies,Neurological,11.63,8.99,0.54,36-60,Other,402997,90.8,2.36,8.25,Surgery,9975,No,84.78,3139,4.71,11786,0.6,87.24,False,19713.547800000004,0.04642765024503482,Low,5.305
UK,2019,Zika,Neurological,14.72,0.84,6.72,0-18,Male,294143,50.0,2.23,9.51,Vaccination,26485,No,66.32,434,6.07,35741,0.78,82.92,False,42930.585600000006,0.45649072753209696,High,5.87
Japan,2002,Alzheimer's Disease,Respiratory,12.61,12.98,5.45,19-35,Male,116844,65.71,4.19,9.69,Vaccination,16118,No,64.88,747,8.59,4033,0.86,39.69,False,51337.2015,0.43216239790658956,High,6.9399999999999995
Saudi Arabia,2006,Cancer,Parasitic,15.12,9.04,6.9,0-18,Female,834340,91.0,3.02,2.05,Therapy,15983,No,89.49,3833,6.01,84531,0.9,80.19,False,399889.224,0.45631902651941014,High,2.535
Canada,2001,Malaria,Autoimmune,13.29,9.76,7.77,0-18,Male,205610,89.47,3.6,8.46,Medication,1190,No,67.79,1989,4.73,50405,0.89,38.11,False,205390.70369999998,0.5846061244451133,High,6.03
Brazil,2003,Parkinson's Disease,Viral,13.85,4.52,3.23,61+,Male,700175,62.54,3.25,5.22,Medication,33734,Yes,75.62,4468,9.79,11089,0.48,24.44,False,199878.214,0.23319615912208505,Medium,4.234999999999999
Canada,2019,COVID-19,Bacterial,2.08,12.8,0.1,36-60,Other,558329,55.52,0.78,6.89,Vaccination,36659,No,62.21,3997,6.08,21921,0.4,25.7,False,831.3760000000001,0.04805382027871216,Low,3.835
Brazil,2011,Parkinson's Disease,Neurological,6.42,10.08,0.29,0-18,Other,136567,50.48,3.07,8.06,Surgery,18886,Yes,80.2,1595,5.37,41181,0.73,25.31,False,2969.571,0.045164304625447745,Low,5.565
France,2005,Diabetes,Metabolic,6.09,10.77,1.42,19-35,Other,267802,95.85,3.42,9.14,Medication,27027,No,82.82,3580,9.46,66816,0.6,48.75,False,30959.124,0.23313084879330156,Low,6.28
Turkey,2006,Malaria,Cardiovascular,10.53,2.5,5.09,0-18,Male,923451,76.24,1.43,2.95,Vaccination,29311,Yes,93.53,110,6.45,51865,0.74,58.38,False,5895.746999999999,0.48333491596239675,High,2.19
Australia,2014,HIV/AIDS,Cardiovascular,12.52,3.13,9.14,19-35,Female,828045,68.61,0.9,8.3,Surgery,41081,Yes,61.53,2764,7.16,20964,0.86,85.65,False,316292.25920000003,0.7299736442776137,High,4.6000000000000005
Japan,2022,Malaria,Metabolic,3.77,1.02,3.0,0-18,Male,509716,63.88,0.57,8.23,Vaccination,49265,No,51.6,4416,0.45,7171,0.48,36.94,False,49944.96,0.7955449482895783,Medium,4.4
France,2008,Tuberculosis,Respiratory,4.6,4.94,2.08,61+,Female,215901,63.27,2.44,0.86,Therapy,35024,Yes,73.99,3893,0.04,35337,0.49,80.47,False,37248.224,0.4520756357313628,Medium,1.65
Mexico,2006,Dengue,Neurological,5.84,6.71,0.63,61+,Other,999156,95.87,2.02,5.29,Therapy,47635,Yes,90.72,4251,3.48,9033,0.42,72.74,False,15640.279199999999,0.10785824345146379,Low,3.6550000000000002
Indonesia,2000,Rabies,Bacterial,1.22,13.78,3.9,0-18,Male,723071,56.9,3.04,3.53,Therapy,45214,Yes,97.84,4746,3.3,24147,0.73,79.39,False,22581.468,3.1941031941031945,Medium,3.285
Turkey,2022,Measles,Chronic,6.97,2.22,6.35,36-60,Male,534508,91.15,0.62,5.87,Vaccination,24653,No,76.34,2649,3.99,17444,0.5,59.77,False,117243.41549999999,0.9109166547123798,Medium,3.245
Germany,2017,Cancer,Metabolic,3.04,2.12,4.46,61+,Male,639082,96.85,1.99,2.73,Medication,33639,Yes,71.36,3351,8.09,20359,0.73,86.25,False,45434.1984,1.4666228214403156,Medium,2.36
Brazil,2003,Alzheimer's Disease,Neurological,12.5,13.27,9.34,19-35,Male,280906,89.39,3.91,5.6,Surgery,16622,Yes,87.39,326,1.16,32806,0.61,70.08,False,38060.5,0.7471402287816975,High,4.755
Brazil,2010,HIV/AIDS,Autoimmune,0.13,13.99,1.46,36-60,Female,134964,69.35,5.0,0.55,Vaccination,14688,Yes,61.6,1804,7.23,57996,0.79,42.37,False,342.3992,11.14503816793893,Low,2.775
UK,2003,Malaria,Chronic,1.08,0.18,3.54,61+,Male,596241,85.86,2.84,5.94,Medication,31291,No,53.7,3352,8.65,55241,0.59,85.04,False,12815.3664,3.2747456059204443,Medium,4.390000000000001
Australia,2009,Alzheimer's Disease,Infectious,2.44,8.04,8.74,0-18,Other,283322,97.18,4.05,5.16,Therapy,26854,No,93.65,1398,7.02,49594,0.71,70.7,False,29813.188800000004,3.580499795165916,Medium,4.605
Saudi Arabia,2023,Hypertension,Metabolic,14.72,13.9,3.28,36-60,Female,28737,97.73,4.51,5.6,Medication,24176,No,85.19,783,3.9,8158,0.61,76.37,False,37804.4928,0.22281095034304732,Medium,5.055
India,2003,Alzheimer's Disease,Bacterial,0.19,14.26,8.38,0-18,Male,349846,72.29,3.1,5.47,Medication,35329,Yes,81.85,3788,8.8,91267,0.58,45.22,False,6031.2536,43.87434554973822,Medium,4.285
Nigeria,2002,Measles,Neurological,3.49,14.0,6.61,36-60,Male,786558,58.08,4.73,3.98,Vaccination,21612,No,74.02,2576,9.07,43869,0.63,40.08,False,59425.48640000001,1.8934402749928387,Medium,4.355
China,2022,Zika,Metabolic,17.12,4.84,7.71,36-60,Female,343352,98.3,0.87,7.39,Vaccination,43779,Yes,84.34,607,7.43,98415,0.55,37.01,False,80121.0864,0.4503241633082179,High,4.13
Argentina,2015,Cholera,Infectious,18.17,12.36,2.68,61+,Male,417401,78.88,2.77,8.01,Therapy,26058,No,81.03,1210,7.43,29542,0.63,46.32,False,58921.67600000001,0.14748775521435253,Medium,5.39
Argentina,2024,Cancer,Parasitic,10.94,12.88,6.25,61+,Female,419192,94.54,1.99,5.36,Medication,16363,Yes,72.52,1274,5.36,9633,0.51,37.11,False,87109.75,0.5712457727812815,High,3.6750000000000003
Italy,2008,Ebola,Chronic,15.94,11.73,6.37,0-18,Other,644854,51.11,4.32,5.53,Surgery,17197,No,74.51,2835,8.59,33096,0.4,45.7,False,287859.663,0.3995985195408068,High,4.925000000000001
Russia,2019,Dengue,Autoimmune,13.86,0.79,1.18,0-18,Other,251830,71.56,0.73,0.67,Vaccination,29568,Yes,52.61,1731,6.47,12142,0.63,57.36,False,28310.158799999994,0.0851309429334103,Low,0.7
USA,2011,Dengue,Chronic,10.45,11.76,5.57,36-60,Male,87481,99.11,2.64,1.49,Therapy,33766,Yes,80.17,393,9.96,56348,0.65,74.74,False,22875.1545,0.5329633527892068,High,2.065
Argentina,2007,Measles,Parasitic,15.6,0.63,7.03,61+,Female,653664,80.52,1.42,1.64,Vaccination,49833,No,91.28,3292,8.75,4120,0.44,83.11,False,361027.05600000004,0.4506121402474201,High,1.5299999999999998
Russia,2023,Leprosy,Bacterial,16.22,8.43,9.61,61+,Other,422327,51.8,3.75,2.98,Therapy,27605,Yes,98.03,3145,4.23,13691,0.79,22.94,False,490224.35899999994,0.592441896307256,High,3.365
China,2014,Polio,Cardiovascular,0.55,0.85,3.83,36-60,Female,123270,62.89,1.19,1.36,Vaccination,18513,Yes,58.47,4739,4.47,99993,0.69,26.87,False,9982.7035,6.9509981851179665,Medium,1.275
Japan,2017,Tuberculosis,Genetic,13.63,8.09,7.03,36-60,Male,633115,55.2,2.62,4.59,Medication,22954,No,66.11,4969,0.13,52433,0.41,65.18,False,476124.11410000006,0.5157361895678967,High,3.605
Brazil,2013,Ebola,Metabolic,16.01,8.55,1.35,19-35,Male,384573,81.59,3.08,3.16,Medication,18972,No,70.43,3356,8.75,14196,0.81,63.55,False,72534.906,0.08431703204047217,Low,3.12
Japan,2005,Influenza,Respiratory,8.6,13.42,2.32,36-60,Female,757834,82.86,2.72,5.17,Medication,14207,No,75.42,2297,3.93,22316,0.87,27.89,False,45829.744,0.26973607720032555,Medium,3.9450000000000003
Nigeria,2010,Diabetes,Cardiovascular,18.17,6.2,2.12,19-35,Female,985553,88.65,3.82,5.76,Therapy,14348,No,88.66,1984,4.35,45639,0.51,73.39,False,76424.4736,0.1166694183038908,Medium,4.79
Russia,2008,Asthma,Metabolic,1.69,7.96,7.09,0-18,Other,879623,98.94,1.41,3.93,Surgery,12685,No,72.26,760,5.6,44330,0.58,77.15,False,9106.395999999999,4.1927853341218215,Medium,2.67
Nigeria,2017,HIV/AIDS,Neurological,1.17,10.47,5.72,0-18,Other,368210,99.1,4.77,6.07,Medication,9051,No,96.1,4875,3.73,63276,0.56,35.5,False,32625.449999999997,4.88471391972673,Medium,5.42
France,2006,Ebola,Autoimmune,9.01,3.55,6.53,0-18,Other,773388,57.54,1.21,6.32,Surgery,2932,No,64.38,3280,6.27,74864,0.54,25.16,False,192979.784,0.7246698479636001,Medium,3.765
South Korea,2000,Alzheimer's Disease,Genetic,3.96,5.55,0.62,36-60,Male,815017,80.67,1.09,3.0,Therapy,42062,Yes,67.77,800,5.45,91647,0.45,31.22,False,1964.16,0.1565261297652108,Low,2.045
